01,Chlorine,0.082
02,Sulfur,0.0926
03,Carbon,0.122
04,Nitrogen,0.14
05,Oxygen,0.154
06,Barium,0.2605
07,Iron,0.424
08,Argon,0.931
09,Arsenic,1.1545
10,Hydrogen,1.39
11,Silicon,1.7
12,Aluminum,1.79
13,Manganese,1.82
14,Fluorine,2
15,Lead,2
16,Calcium,2.28
17,Magnesium,2.32
18,Zinc,2.55
19,Phosphorus,2.69
20,Cadmium,2.73
21,Sodium,3
22,Boron,3.68
23,Bromine,4.39
24,Cerium,4.64
25,Lanthanum,4.85
26,Antimony,5.79
27,Copper,6
28,Bismuth,6.36
29,Strontium,6.6
30,Chromium,9.4
31,Titanium,11.4
32,Potassium,12.85
33,Nickel,13.9
34,Samarium,13.9
35,Ytterbium,17.1
36,Tin,18.7
37,Selenium,21.4
38,Helium,24
39,Erbium,26.4
40,Gadolinium,28.6
41,Mercury,30.2
42,Yttrium,31
43,Europium,31.4
44,Cobalt,32.8
45,Iodine,35
46,Tungsten,35.3
47,Zirconium,36.4
48,Molybdenum,40.1
49,Crude oil,50
50,Holmium,57.1
51,Neodymium,57.5
52,Tellurium,63.5
53,Niobium,73.5
54,Lithium,83.5
55,Uranium,101
56,Praesodymium,103
57,Gallium,148
58,Indium,167
59,Neon,240
60,Thorium,287
61,Krypton,290
62,Tantalum,305
63,Dysprosium,307
64,Vanadium,371
65,Silver,521
66,Lutetium,643
67,Terbium,658
68,Berylium,857
69,Hafnium,900
70,Germanium,962
71,Xenon,1800
72,Thulium,3000
73,Scandium,3460
74,Rhenium,3580
75,Thallium,4200
76,Ruthenium,10500
77,Osmium,12000
78,Deuterium,13400
79,Rubidium,15500
80,Platinum,27800
81,Gold,44800
82,Palladium,49500
83,Iridium,55850
84,Caesium,61800
85,Neptunium,66000
86,Technetium,100000
87,Rhodium,147000
88,Americium,750000
89,Plutonium,6490000
90,Curium,1600000000000
